Zwei	CARD	zwei
Soldaten	NN.Nom.Pl.Masc	Soldat
standen	VVFIN.3.Pl.Past.Ind	stehen
auf	APPR	auf
Wache	NN.Acc.Sg.Fem	Wache
vor	APPR	vor
Königs	NE.Gen.Sg.*	König
Schlosse	NN.Dat.Sg.Neut	Schloß
und	KON	und
im	APPRART.Dat.Sg.Neut	in
Gespräche	NN.Dat.Sg.Neut	Gespräch
wünschte	VVFIN.3.Sg.Past.Ind	wünschen
sich	PRF.3.Acc.Sg	sich
der	ART.Nom.Sg.Masc	der
Eine	ART.Nom.Sg.Masc	ein
General	NN.Nom.Sg.Masc	General
zu	PTKZU	zu
sein	VAINF.Inf	sein
,	$,	,
der	ART.Nom.Sg.Masc	der
Andere	PIS.Nom.Sg.Masc	anderer
aber	ADV	aber
wünschte	VVFIN.3.Sg.Past.Ind	wünschen
sich	PRF.3.Acc.Sg	sich
zu	APPR	zu
der	ART.Dat.Sg.Fem	der
Prinzessin	NN.Dat.Sg.Fem	Prinzessin
.	$.	.

