Auch	ADV	auch
dieſe	PDAT.Acc.Sg.Fem	die<unk>er
Geſchichte	NN.Acc.Sg.Fem	Ge<unk>chichte
zu	PTKZU	zu
erzählen	VVINF.Inf	erzählen
,	$,	,
würde	VAFIN.3.Sg.Past.Subj	werden
eine	ART.Nom.Sg.Fem	ein
müſſige	ADJA.Pos.Nom.Sg.Fem	mü<unk><unk>ig
Erfindung	NN.Nom.Sg.Fem	Erfindung
ſein	VAINF.Inf	ein
,	$,	,
wenn	KOUS	wenn
ſie	PPER.3.Nom.Sg.Fem	<unk>
nicht	PTKNEG	nicht
auf	APPR	auf
einem	ART.Dat.Sg.Masc	ein
wahren	ADJA.Pos.Dat.Sg.Masc	wahr
Vorfall	NN.Dat.Sg.Masc	Vorfall
beruhte	VVFIN.3.Sg.Past.Ind	beruhen
,	$,	,
zum	APPRART.Dat.Sg.Masc	zu
Beweiſe	NN.Dat.Sg.Masc	Bewei<unk>
,	$,	,
wie	PWAV	wie
tief	ADJD.Pos	tief
im	APPRART.Dat.Sg.Neut	in
Menſchenleben	NN.Dat.Sg.Neut	Men<unk>chenleben
jede	PIS.Acc.Pl.Neut	jeder
der	ART.Gen.Pl.Neut	der
ſchönen	ADJA.Pos.Gen.Pl.Neut	<unk>
Fabeln	NN.Gen.Pl.Neut	Fabel
wurzelt	VVFIN.3.Sg.Pres.Ind	wurzeln
,	$,	,
auf	APPR	auf
welche	PIS.Acc.Pl.Masc	welcher
ein	ART.Nom.Sg.Neut	ein
großes	ADJA.Pos.Nom.Sg.Neut	große
Dichterwerk	NN.Nom.Sg.Neut	Dichterwerk
gegründet	VVPP.Psp	gründen
iſt	VAFIN.3.Sg.Pres.Ind	sein
.	$.	.

