Nicht	PTKNEG	nicht
weit	ADJD.Pos	weit
von	APPR	von
Seesen	NN.Dat.Pl.Masc	Seesen
liegt	VVFIN.3.Sg.Pres.Ind	liegen
ein	ART.Nom.Sg.Neut	ein
einsames	ADJA.Pos.Nom.Sg.Neut	einsames
Wirthshaus	NN.Nom.Sg.Neut	Wirthshaus
,	$,	,
ich	PPER.1.Nom.Sg.Masc	ich
glaube	VVFIN.1.Sg.Pres.Ind	glauben
es	PPER.3.Acc.Sg.Neut	es
heißt	VVFIN.3.Sg.Pres.Ind	heißen
der	ART.Nom.Sg.Masc	der
neue	ADJA.Pos.Nom.Sg.Masc	neu
Krug	NN.Nom.Sg.Masc	Krug
,	$,	,
der	ART.Nom.Sg.Masc	der
Vetter	NN.Nom.Sg.Masc	Vetter
Juchheidom	NE.Nom.Sg.Masc	Juchheidom
aber	ADV	aber
kennt	VVFIN.3.Sg.Pres.Ind	kennen
es	PPER.3.Acc.Sg.Neut	es
,	$,	,
denn	KON	denn
der	PDS.Nom.Sg.Masc	der
hat	VAFIN.3.Sg.Pres.Ind	haben
manches	PIAT.Acc.Sg.Neut	mancher
Glas	NN.Acc.Sg.Neut	Glas
dort	ADV	dort
geleert	VVPP.Psp	leeren
.	$.	.

