Drei	CARD	drei
Meilen	NN.Nom.Pl.Fem	Meile
hinter	APPR	hinter
Dünkelspühl	NN.Dat.Sg.Masc	Dünkelspühl
in	APPR	in
Schwabenland	NE.Dat.Sg.Neut	Schwabenland
,	$,	,
lag	VVFIN.3.Sg.Past.Ind	liegen
vor	APPR	vor
Zeiten	NN.Dat.Pl.Fem	Zeit
ein	ART.Nom.Sg.Neut	ein
altes	ADJA.Pos.Nom.Sg.Neut	alt
Raubschloß	NN.Nom.Sg.Neut	Raubschloß
,	$,	,
das	PRELS.Nom.Sg.Neut	der
einem	ART.Dat.Sg.Masc	ein
mannfesten	ADJA.Pos.Dat.Sg.Masc	mannfest
Ritter	NN.Dat.Sg.Masc	Ritter
zugehörte	VVFIN.3.Sg.Past.Ind	zugehören
,	$,	,
Wackermann	NE.Nom.Sg.Masc	Wackermann
Uhlfinger	NE.Nom.Sg.Masc	Uhlfinger
genannt	VVPP.Psp	nennen
,	$,	,
die	ART.Acc.Sg.Fem	der
Blume	NN.Acc.Sg.Fem	Blume
der	ART.Gen.Sg.Fem	der
faust-	TRUNC.Pos.Gen.Sg.Fem	faust
und	KON	und
kolbengerechten	ADJA.Pos.Gen.Sg.Fem	kolbengerecht
Ritterschaft	NN.Gen.Sg.Fem	Ritterschaft
,	$,	,
das	ART.Acc.Sg.Neut	der
Schrecken	NN.Acc.Sg.Neut	Schrecken
der	ART.Gen.Pl.Fem	der
schwäbischen	ADJA.Pos.Gen.Pl.Fem	schwäbisch
Bundesstädte	NN.Gen.Pl.Fem	Bundesstadt
auch	ADV	auch
aller	PIAT.Gen.Pl.*	aller
Reisenden	NN.Gen.Pl.*	Reisende
und	KON	und
Frachtführer	NN.Gen.Pl.Masc	Frachtführer
die	PRELS.Nom.Pl.Masc	der
keinen	PIAT.Acc.Sg.Masc	kein
Geleitsbrief	NN.Acc.Sg.Masc	Geleitsbrief
von	APPR	von
ihm	PPER.3.Dat.Sg.Neut	ihm
gelöset	VVPP.Psp	lösen
hatten	VAFIN.3.Pl.Past.Ind	haben
.	$.	.

