Wer	PWS.Nom.Sg.Masc	wer
weiß	VVFIN.3.Sg.Pres.Ind	wissen
,	$,	,
wozu	PWAV	wozu
das	PDS.Nom.Sg.Neut	der
gut	ADJD.Pos	gut
ist	VAFIN.3.Sg.Pres.Ind	sein
,	$,	,
rief	VVFIN.3.Sg.Past.Ind	rufen
der	ART.Nom.Sg.Masc	der
Schäferjunge	NN.Nom.Sg.Masc	Schäferjunge
,	$,	,
als	KOUS	als
ihn	PPER.3.Acc.Sg.Masc	ihn
sein	PPOSAT.Nom.Sg.Masc	sein
Vater	NN.Nom.Sg.Masc	Vater
mit	APPR	mit
viel	PIAT.*.*.*	viel
Prügeln	NN.Dat.Pl.Masc	Prügel
und	KON	und
keinem	PIAT.Dat.Sg.Neut	kein
Geld	NN.Dat.Sg.Neut	Geld
in	APPR	in
die	ART.Acc.Sg.Fem	der
weite	ADJA.Pos.Acc.Sg.Fem	weit
Welt	NN.Acc.Sg.Fem	Welt
schickte	VVFIN.3.Sg.Past.Ind	schicken
,	$,	,
weil	KOUS	weil
die	ART.Nom.Pl.Neut	der
Schafe	NN.Nom.Pl.Neut	Schaf
aus	APPR	aus
der	ART.Dat.Sg.Fem	der
Hürde	NN.Dat.Sg.Fem	Hürde
gebrochen	VVPP.Psp	brechen
waren	VAFIN.3.Pl.Past.Ind	sein
.	$.	.

