Eines	ART.Gen.Sg.Masc	ein
armen	ADJA.Pos.Gen.Sg.Masc	arm
Sauhirten	NN.Gen.Sg.Masc	Sauhirt
Sohn	NN.Nom.Sg.Masc	Sohn
hatte	VAFIN.3.Sg.Past.Ind	haben
die	ART.Acc.Sg.Fem	der
Metzgerei	NN.Nom.Sg.Fem	Metzgerei
gelernt	VVPP.Psp	lernen
,	$,	,
weil	KOUS	weil
er	PPER.3.Nom.Sg.Masc	er
höher	ADJD.Comp	hoch
hinauswollte	VVFIN.3.Sg.Past.Ind	hinauswollen
als	KOKOM	als
sein	PPOSAT.Nom.Sg.Masc	sein
Vater	NN.Nom.Sg.Masc	Vater
und	KON	und
nicht	PTKNEG	nicht
zufrieden	ADJD.Pos	zufrieden
damit	PROAV	damit
war	VAFIN.3.Sg.Past.Ind	sein
,	$,	,
die	ART.Acc.Sg.Fem	der
Stelle	NN.Acc.Sg.Fem	Stelle
von	APPR	von
dem	ART.Dat.Sg.Masc	der
Alten	NN.Dat.Sg.Neut	Alten
zu	PTKZU	zu
erben	VVINF.Inf	erben
.	$.	.

